generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;2395075;598;431;2395075;0;915286;0;0
2;2041183;531;301;2041183;0;454369;0;0
3;2233255;541;345;2233255;0;454369;0;0
4;2306437;547;348;2306437;0;454369;0;0
5;2304732;598;348;2304732;0;454369;0;0
6;2305428;541;347;2305428;0;454369;0;0
7;2304979;559;352;2304979;0;218782;0;0
8;2305142;532;358;2305142;0;218782;0;0
9;2310741;516;350;2310741;0;218782;0;0
10;2318719;753;345;2318719;0;218782;0;0
11;2304544;1412;350;2304544;0;218782;0;0
12;2305119;521;354;2305119;0;218782;0;0
13;2340081;512;350;2340081;0;218782;0;0
14;2304025;516;347;2304025;0;218782;0;0
15;2303118;515;352;2303118;0;162301;0;0
16;2304593;510;346;2304593;0;162301;0;0
17;2306184;520;352;2306184;0;148202;0;0
18;2302311;502;354;2302311;0;148202;0;0
19;2304848;526;352;2304848;0;148202;0;0
20;2304393;524;347;2304393;0;148202;0;0
21;2306021;1309;347;2306021;0;148202;0;0
22;2305743;505;348;2305743;0;148202;0;0
23;2304620;520;351;2304620;0;148202;0;0
24;2304234;1039;353;2304234;0;148202;0;0
25;2305073;516;348;2305073;0;148202;0;0
26;2302054;512;356;2302054;0;148202;0;0
27;2303062;491;360;2303062;0;148202;0;0
28;2303414;533;353;2303414;0;148202;0;0
29;2338694;1520;355;2338694;0;148202;0;0
30;2298013;502;253;2298013;0;143166;0;0
31;2341910;497;348;2341910;0;143166;0;0
32;2304656;542;346;2304656;0;143166;0;0
33;2304519;511;348;2304519;0;143166;0;0
34;2303514;519;348;2303514;0;143166;0;0
35;2303794;494;349;2303794;0;143166;0;0
36;2305366;500;356;2305366;0;143166;0;0
37;2309730;515;352;2309730;0;143166;0;0
38;2305292;526;353;2305292;0;133812;0;0
39;2305475;516;351;2305475;0;133812;0;0
40;2304689;521;349;2304689;0;112156;0;0
41;2306737;510;354;2306737;0;112156;0;0
42;2303751;506;348;2303751;0;112156;0;0
43;2303830;542;348;2303830;0;112156;0;0
44;2305695;513;343;2305695;0;112156;0;0
45;2305222;1674;352;2305222;0;112156;0;0
46;2303341;491;353;2303341;0;111653;0;0
47;2302091;538;345;2302091;0;103270;0;0
48;2301022;501;358;2301022;0;103270;0;0
49;2304127;487;349;2304127;0;103270;0;0
50;2304282;1621;352;2304282;0;97793;0;0
51;2324565;481;344;2324565;0;97793;0;0
52;2316224;494;350;2316224;0;97793;0;0
53;2336162;487;350;2336162;0;97793;0;0
54;2302701;505;351;2302701;0;97793;0;0
55;2303411;489;353;2303411;0;97793;0;0
56;2304314;1614;353;2304314;0;97793;0;0
57;2302247;484;348;2302247;0;97793;0;0
58;2303793;521;353;2303793;0;97793;0;0
59;2302440;463;354;2302440;0;97793;0;0
60;2303111;492;356;2303111;0;97793;0;0
61;2328262;504;340;2328262;0;97793;0;0
62;2303978;488;267;2303978;0;97793;0;0
63;2348676;517;270;2348676;0;97793;0;0
64;2339687;487;358;2339687;0;97793;0;0
65;2326521;1693;350;2326521;0;97793;0;0
66;2317397;1569;351;2317397;0;97793;0;0
67;2301232;488;349;2301232;0;97793;0;0
68;2302720;474;351;2302720;0;97793;0;0
69;2303112;480;352;2303112;0;97793;0;0
70;2304017;479;348;2304017;0;97793;0;0
71;2339008;476;352;2339008;0;97793;0;0
72;2305024;468;350;2305024;0;97793;0;0
73;2303900;1490;351;2303900;0;97793;0;0
74;2304447;497;357;2304447;0;97793;0;0
75;2305112;486;349;2305112;0;97793;0;0
76;2303791;470;356;2303791;0;97793;0;0
77;2304065;477;348;2304065;0;97793;0;0
78;2304723;481;346;2304723;0;97793;0;0
79;2306708;476;352;2306708;0;97793;0;0
80;2304730;476;255;2304730;0;97793;0;0
81;2339658;478;349;2339658;0;97793;0;0
82;2303973;483;354;2303973;0;97793;0;0
83;2305056;467;356;2305056;0;97793;0;0
84;2304229;479;349;2304229;0;95947.1;0;0
85;2308145;471;353;2308145;0;95947.1;0;0
86;2305317;463;353;2305317;0;95947.1;0;0
87;2319872;452;346;2319872;0;95947.1;0;0
88;2324473;466;344;2324473;0;95947.1;0;0
89;2306280;1148;352;2306280;0;95947.1;0;0
90;2304075;454;348;2304075;0;95947.1;0;0
91;2304740;451;347;2304740;0;95947.1;0;0
92;2304468;456;350;2304468;0;95947.1;0;0
93;2303989;467;353;2303989;0;95947.1;0;0
94;2304923;452;344;2304923;0;95947.1;0;0
95;2304899;461;350;2304899;0;95947.1;0;0
96;2305746;464;351;2305746;0;95947.1;0;0
97;2304073;449;351;2304073;0;95947.1;0;0
98;2307252;458;352;2307252;0;95947.1;0;0
99;2304353;459;352;2304353;0;95947.1;0;0
100;2304623;454;354;2304623;0;95947.1;0;0
101;2305303;452;349;2305303;0;95947.1;0;0
